Time,Plate,Well,Raw_od,hour,Well_id,Plt_well,Well_row,Well_column,Condition,Ratio,XMIC,MIC ug/ml
18:59:45,2,A2,0.249,18.99583,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
19:59:47,2,A2,0.252,19.99639,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
20:59:47,2,A2,0.256,20.99639,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
21:59:49,2,A2,0.261,21.99694,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
22:59:50,2,A2,0.263,22.99722,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
23:59:51,2,A2,0.263,23.9975,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
24:59:52,2,A2,0.27,24.99778,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
25:59:53,2,A2,0.273,25.99806,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
26:59:54,2,A2,0.275,26.99833,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
27:59:54,2,A2,0.28,27.99833,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
28:59:55,2,A2,0.283,28.99861,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
29:59:56,2,A2,0.286,29.99889,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
30:59:57,2,A2,0.29,30.99917,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
31:59:58,2,A2,0.291,31.99944,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
